epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.7231,0.41046,1.72648,1.15663,0.7117,0.68854,0.68454,0.56173,0.71278,1.9199,1.23781,0.000414519,0.000414519,0.000414519
2,133.337,0.35161,0.84432,1.10358,0.60406,0.61797,0.70333,0.45428,0.99208,1.97112,1.5114,0.000790042,0.000790042,0.000790042
3,199.36,0.35356,0.71257,1.10574,0.4375,0.61758,0.49756,0.19142,2.26669,2.18286,2.4617,0.00112431,0.00112431,0.00112431
4,264.721,0.34028,0.63294,1.09662,0.63179,0.82954,0.77097,0.6457,0.6767,1.10193,1.15207,0.00106437,0.00106437,0.00106437
5,330.557,0.30487,0.56626,1.07684,0.79057,0.63012,0.8432,0.69703,0.61151,1.05934,0.99212,0.0010025,0.0010025,0.0010025
6,396.242,0.29099,0.51849,1.05737,0.86621,0.88317,0.92017,0.79608,0.58334,0.56409,1.09821,0.000940625,0.000940625,0.000940625
7,463.713,0.27095,0.49436,1.05147,0.82471,0.78951,0.85327,0.57989,0.99738,0.85602,1.35956,0.00087875,0.00087875,0.00087875
8,529.239,0.26367,0.4733,1.04578,0.78574,0.87339,0.92007,0.77096,0.66594,0.72828,1.05308,0.000816875,0.000816875,0.000816875
9,593.661,0.253,0.44402,1.04023,0.92879,0.92138,0.95602,0.79869,0.55424,0.45972,0.93994,0.000755,0.000755,0.000755
10,658.551,0.24733,0.43309,1.03694,0.88341,0.84275,0.9331,0.81763,0.52897,0.5533,0.89373,0.000693125,0.000693125,0.000693125
11,763.429,0.20991,0.31617,1.09439,0.91996,0.90563,0.94926,0.83888,0.55721,0.52359,0.92179,0.00063125,0.00063125,0.00063125
12,830.382,0.19955,0.28479,1.0833,0.85093,0.88094,0.92359,0.83632,0.52642,0.56613,0.90105,0.000569375,0.000569375,0.000569375
13,896.046,0.191,0.26588,1.07432,0.87482,0.88949,0.93191,0.82491,0.53994,0.55791,0.90859,0.0005075,0.0005075,0.0005075
14,962.632,0.18684,0.2526,1.07154,0.95063,0.90961,0.96458,0.87003,0.50766,0.45098,0.84604,0.000445625,0.000445625,0.000445625
15,1028.69,0.17743,0.23627,1.06202,0.93762,0.93599,0.96739,0.87232,0.49313,0.4482,0.82551,0.00038375,0.00038375,0.00038375
16,1097.9,0.17164,0.22364,1.05837,0.87945,0.92019,0.95633,0.85569,0.54114,0.55287,0.87822,0.000321875,0.000321875,0.000321875
17,1166.83,0.16153,0.2015,1.04401,0.93397,0.93369,0.96876,0.88398,0.51305,0.48657,0.84086,0.00026,0.00026,0.00026
18,1234.91,0.1589,0.18336,1.04188,0.9431,0.93311,0.96562,0.88012,0.47697,0.44138,0.8041,0.000198125,0.000198125,0.000198125
19,1303.05,0.15482,0.17734,1.03831,0.94441,0.94217,0.96796,0.88636,0.48577,0.45805,0.81361,0.00013625,0.00013625,0.00013625
20,1371.95,0.14605,0.1571,1.03346,0.93824,0.94209,0.9685,0.88217,0.48763,0.44601,0.8037,7.4375e-05,7.4375e-05,7.4375e-05
